序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均访问时长_秒,有消费,CTR,CPC,有浏览,有转化,平均浏览,GMM_K,cluster_id,分类
1,9,63563817,1841014603,3424.41,3271,9750,0.6109,196.0,True,0.3354871794871795,1.0469000305716907,True,True,2.9807398349128706,8,0,高价值转化型
2,283,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
3,726,63563817,1841014603,252.86,135,255,0.9059,39.0,True,0.5294117647058824,1.873037037037037,True,True,1.8888888888888888,8,1,稳定拓展型
4,770,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
5,800,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
6,867,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
7,1186,63563817,1841014603,1.79,1,1,1.0,13.0,True,1.0,1.79,True,True,1.0,8,7,低效长尾型二
8,1277,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
9,1517,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
10,1567,63563817,1841014603,37.32,23,77,0.6957,187.0,True,0.2987012987012987,1.622608695652174,True,True,3.347826086956522,8,1,稳定拓展型
11,1583,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
12,1667,63563817,1841014603,88.09,41,86,0.8333,49.0,True,0.47674418604651164,2.1485365853658536,True,True,2.097560975609756,8,1,稳定拓展型
13,2023,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
14,2083,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
15,2123,63563817,1841014603,6.32,3,2,1.0,8.0,True,1.5,2.106666666666667,True,True,0.6666666666666666,8,7,低效长尾型二
16,2294,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
17,2373,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
18,2384,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
19,2478,63563817,1841014603,49.0,25,166,0.4737,646.0,True,0.15060240963855423,1.96,True,True,6.64,8,1,稳定拓展型
20,2505,63563817,1841014603,6.15,2,7,0.0,142.0,True,0.2857142857142857,3.075,True,True,3.5,8,5,潜力挖掘型
21,2570,63563817,1841014603,10.34,7,27,0.5,54.0,True,0.25925925925925924,1.477142857142857,True,True,3.857142857142857,8,1,稳定拓展型
22,2590,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
23,2789,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
24,2889,63563817,1841014603,1.89,1,1,1.0,21.0,True,1.0,1.89,True,True,1.0,8,7,低效长尾型二
25,2892,63563817,1841014603,30.77,18,54,0.6842,119.0,True,0.3333333333333333,1.7094444444444443,True,True,3.0,8,1,稳定拓展型
26,2980,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
27,2985,63563817,1841014603,114.03,75,197,0.6901,164.0,True,0.38071065989847713,1.5204,True,True,2.6266666666666665,8,1,稳定拓展型
28,3106,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
29,3160,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
30,3169,63563817,1841014603,5.66,4,4,1.0,7.0,True,1.0,1.415,True,True,1.0,8,7,低效长尾型二
31,3304,63563817,1841014603,7.68,5,6,0.75,50.0,True,0.8333333333333334,1.536,True,True,1.2,8,6,稳定拓展型三
32,3334,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
33,3485,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
34,3501,63563817,1841014603,13.49,8,40,0.75,361.0,True,0.2,1.68625,True,True,5.0,8,1,稳定拓展型
35,3732,63563817,1841014603,15.92,10,11,0.9,29.0,True,0.9090909090909091,1.592,True,True,1.1,8,6,稳定拓展型三
36,3840,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
37,4043,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
