方案63563817_cost,方案495403620_cost,方案495817671_cost,方案500635396_cost,方案525368335_cost,_total_cost,_total_reg
14910.0,216319.0,150559.0,802145.0,165875.0,1352154.7085181712,82485.16336515328
14930.0,215951.0,152806.0,803186.0,163584.0,1352216.9224891032,82793.71339401403
15524.0,214910.0,147386.0,808850.0,168741.0,1355411.1483582377,83200.05693348896
15040.0,217633.0,152262.0,810155.0,166588.0,1361677.0046175628,83539.66077146251
15127.0,218889.0,152324.0,822855.0,161312.0,1370506.8095859732,84109.91221758569
15027.0,216729.0,163334.0,814402.0,164336.0,1373827.5916002057,84141.70258299206
15922.0,214363.0,155428.0,816631.0,172254.0,1374598.376946384,84474.39144762496
15687.0,215800.0,160083.0,812372.0,176101.0,1380043.794250687,84726.86583074126
16045.0,208150.0,161296.0,810737.0,186008.0,1382236.1960289706,85263.8490193052
16225.0,208064.0,161482.0,809497.0,189273.0,1384541.1467255037,85497.1985662481
15974.0,211903.0,163776.0,812726.0,186005.0,1390384.2898797179,85607.57114108329
16055.0,213213.0,165917.0,821874.0,178316.0,1395375.348405447,86167.06951974018
16260.0,214310.0,168106.0,820520.0,180899.0,1400094.878174169,86309.75839457162
15335.0,220613.0,172744.0,820286.0,184383.0,1413361.2005719873,87207.49684441621
15105.0,216107.0,175470.0,828367.0,178761.0,1413810.1350785177,87605.50753134434
15243.0,216747.0,174887.0,826563.0,181883.0,1415323.6173437145,87751.09093116323
15277.0,218809.0,175223.0,827913.0,188088.0,1425309.1712241254,87916.4075723232
15131.0,221752.0,176834.0,832152.0,182127.0,1427996.3251486388,87994.18471275609
15466.0,216935.0,176889.0,839875.0,183339.0,1432502.7050706209,88677.05891300534
15319.0,219250.0,175465.0,846576.0,180871.0,1437480.5723243745,88904.70728880196
15601.0,217936.0,173057.0,854894.0,181400.0,1442887.2768265875,89079.72038205463
15685.0,215787.0,170919.0,859514.0,183786.0,1445691.4980934248,89220.07848355504
15501.0,214996.0,178099.0,859949.0,184527.0,1453071.4220064853,89721.96156449274
15671.0,217358.0,172083.0,866540.0,183964.0,1455616.6549234975,89910.52513240135
14097.0,223043.0,171807.0,855676.0,192306.0,1456928.5023892052,90094.0832132577
15362.0,221128.0,179826.0,871281.0,177735.0,1465331.9553334028,90331.22760773973
14059.0,222558.0,172844.0,861794.0,194491.0,1465744.6906137797,90825.6449587416
15371.0,218353.0,175363.0,867041.0,208174.0,1484301.1268834174,91313.01966646969
14908.0,216607.0,174098.0,880017.0,203681.0,1489311.8166583646,91509.97411973296
15067.0,216743.0,176988.0,882577.0,201441.0,1492814.679261313,91894.46374682261
15056.0,215148.0,175155.0,889464.0,199202.0,1494025.625440768,92112.50458048856
14987.0,215784.0,179119.0,890105.0,197519.0,1497521.4811092177,92283.29763083416
16173.0,223296.0,184336.0,874225.0,203363.0,1503109.5695419898,92433.09295322285
16668.0,221536.0,179707.0,882524.0,205776.0,1514246.4781885424,92591.40994893978
16090.0,223132.0,184133.0,877834.0,205338.0,1515137.0873926284,92823.41441626588
16625.0,219350.0,178593.0,890125.0,206192.0,1529483.0006701373,92958.16084013386
16485.0,221961.0,175094.0,882671.0,215374.0,1532142.9041265182,93351.43690288179
16310.0,223561.0,177997.0,886517.0,211270.0,1549543.0139056444,93528.54097867502
16371.0,220952.0,176190.0,887851.0,216856.0,1562205.1600121148,93796.52917143716
16267.0,218301.0,178064.0,902775.0,209678.0,1602575.1161883879,93845.17960251104
16383.0,217817.0,176511.0,904310.0,210708.0,1606846.482435789,94087.30486011102
16148.0,217150.0,178492.0,903648.0,213353.0,1628295.8009806965,94098.45224296511
15469.0,224746.0,185920.0,896051.0,207347.0,1633768.3063479892,94145.17191782632
16214.0,218618.0,178819.0,906514.0,212011.0,1654176.0140032105,94352.31750460452
16171.0,218943.0,177685.0,907104.0,212281.0,1654248.0801227035,94402.45048344824
16415.0,219685.0,173484.0,912467.0,213366.0,1681112.3277832277,94592.1870109154
16427.0,218296.0,178790.0,912227.0,213512.0,1715695.2383972134,94792.39138772762
16505.0,221585.0,176773.0,910344.0,214174.0,1716905.810882911,94798.30915839114
16093.0,223849.0,179469.0,912213.0,211031.0,1748840.227430287,95239.30774077956
16191.0,220710.0,177291.0,914368.0,218231.0,1792245.8909119475,95357.1178259252
16073.0,224440.0,177315.0,913811.0,217223.0,1815276.7061631163,95412.57079261304
15795.0,227484.0,189179.0,916896.0,209853.0,1943120.134313243,95447.59421128118
15362.0,227706.0,189304.0,921810.0,207840.0,1981597.1848365227,95545.86906700519
15400.0,226852.0,190280.0,925472.0,207086.0,2025363.266721827,95624.81920117735
15376.0,226805.0,191463.0,925012.0,206987.0,2033454.91478441,95705.17243204055
15717.0,223456.0,191420.0,923492.0,212954.0,2054110.2886721,95804.51993834855
15757.0,226159.0,190377.0,926509.0,211272.0,2100449.159065985,95950.75449750594
15754.0,225854.0,191606.0,927173.0,213292.0,2157872.405518508,96251.79012500074
15716.0,225352.0,190368.0,927034.0,217807.0,2200860.6299887924,96384.51274641101
15397.0,228556.0,192215.0,934514.0,208242.0,2246029.492488777,96454.17743899445
