节日,日期,指标,均值差,中位数差,CI下限(2.5%),CI上限(97.5%),p值(双侧),n_boot_target,n_boot_valid,n_boot_fail_a,n_boot_fail_b
元旦,2025-01-01,总消费额,-3950.5417236156627,-4360.170711960753,-7388.370111632577,-665.8791771212009,0.0,100,100,0,0
春节,2025-01-28,总消费额,-3611.0005077757937,-3405.9373549771863,-7184.980880598215,-460.25144113961665,0.02,100,100,0,0
春节,2025-01-29,总消费额,-5421.453795668149,-5827.34528693641,-8511.076239416436,-2372.8884029676187,0.0,100,100,0,0
春节,2025-01-30,总消费额,-5045.577398976906,-4702.024973286953,-8781.228119995423,-2602.498222301744,0.0,100,100,0,0
春节,2025-01-31,总消费额,-5043.819888601987,-4579.808828361776,-8363.309213700843,-2417.293612781535,0.0,100,100,0,0
春节,2025-02-01,总消费额,-4885.696011754012,-4610.83007188655,-7797.688833974535,-2005.1651826770078,0.0,100,100,0,0
春节,2025-02-02,总消费额,-4582.043326846047,-4012.7811094441668,-7603.417471539895,-2624.997274425302,0.0,100,100,0,0
春节,2025-02-03,总消费额,-4511.987130074158,-4107.8099262139,-7451.311125566839,-2148.893566596251,0.0,100,100,0,0
春节,2025-02-04,总消费额,-4070.9698923288247,-3919.6270841700016,-7141.74188546108,-1099.2188873017644,0.0,100,100,0,0
清明,2025-04-04,总消费额,-5500.056481705913,-5489.106042798327,-9389.926800795849,-2295.45814607036,0.0,100,100,0,0
清明,2025-04-05,总消费额,-5311.658885161916,-5456.1365372335,-8077.316032154191,-1934.1271349887074,0.0,100,100,0,0
清明,2025-04-06,总消费额,-2869.215842625405,-2989.79121652314,-5192.794430117272,-294.3456923341447,0.02,100,100,0,0
劳动节,2025-05-01,总消费额,-4835.913763226446,-4412.635824084234,-8357.879924852752,-2051.604729540261,0.0,100,100,0,0
劳动节,2025-05-02,总消费额,-4766.744534395995,-4150.067635643026,-8858.488233375214,-2079.6645848417247,0.0,100,100,0,0
劳动节,2025-05-03,总消费额,-4272.597276117749,-4091.779084290716,-7322.348875778122,-1625.9105159444648,0.0,100,100,0,0
劳动节,2025-05-04,总消费额,-3960.4986574343848,-3588.7268511697184,-6812.643929876059,-1825.4362211551493,0.0,100,100,0,0
劳动节,2025-05-05,总消费额,-1971.6324555225874,-2185.272109611707,-4162.270006771388,244.95157798612996,0.12,100,100,0,0
端午,2025-05-31,总消费额,-2055.853827165754,-2160.361073712642,-3956.644234362044,-284.1315982093556,0.0,100,100,0,0
端午,2025-06-01,总消费额,-1137.634691410613,-1031.5891241347438,-2292.300285908371,-171.56584361727062,0.02,100,100,0,0
端午,2025-06-02,总消费额,-1030.0999727750711,-999.834493875815,-2216.1805899721753,52.93327404333866,0.1,100,100,0,0
国庆,2025-10-01,总消费额,-4599.322300130992,-3799.7856049678912,-7431.86223029528,-2291.560886062547,0.0,100,100,0,0
国庆,2025-10-02,总消费额,-4845.522476419932,-4220.089529146178,-7935.814441721375,-2309.338342444703,0.0,100,100,0,0
国庆,2025-10-03,总消费额,-4691.062691826433,-3910.237332653951,-7696.661662208684,-1867.646597114074,0.0,100,100,0,0
国庆,2025-10-04,总消费额,-4365.717376616088,-3991.4179187045934,-7091.216880377928,-1992.9138790760119,0.0,100,100,0,0
国庆,2025-10-05,总消费额,-4487.359482303662,-4508.624924845685,-6590.14628606153,-2583.516343475812,0.0,100,100,0,0
国庆,2025-10-06,总消费额,-4579.571487854223,-3896.6266648706924,-7204.306196938768,-2169.8043040131024,0.0,100,100,0,0
国庆,2025-10-07,总消费额,-3796.1838476965704,-3212.846785531942,-6365.444265858336,-1199.1575387626276,0.0,100,100,0,0
中秋,2025-10-08,总消费额,-2108.9349908837116,-2224.545634885638,-3776.1064002497283,-131.84096097586954,0.04,100,100,0,0
购物节,2025-02-14,总消费额,2014.2571775660392,1949.8090604546614,398.76710935456094,4220.1775113348895,0.02,100,100,0,0
购物节,2025-03-08,总消费额,2641.453864416249,2483.684236083264,665.3443533926111,4883.220391464935,0.0,100,100,0,0
购物节,2025-03-15,总消费额,2379.264998287798,2241.6268454217297,470.6284196265331,4585.550053147314,0.02,100,100,0,0
购物节,2025-06-18,总消费额,1440.4095972222608,1441.0040742646497,-269.7991704571514,3349.716888470984,0.16,100,100,0,0
购物节,2025-08-08,总消费额,1735.272990561317,1536.5125634643719,50.564095031121184,3929.1622900244306,0.04,100,100,0,0
购物节,2025-09-09,总消费额,1914.371096804998,2049.980370984833,-75.32000624069846,4052.0756915503694,0.08,100,100,0,0
购物节,2025-11-11,总消费额,2025.5504358757594,1931.9429252186383,203.66799989996485,3991.7186940952233,0.02,100,100,0,0
购物节,2025-12-12,总消费额,1673.5347894952456,1582.1275122068655,45.856513043281495,3409.838833831836,0.06,100,100,0,0
购物节,2025-12-25,总消费额,1704.8124819103393,1594.0223720718932,-36.04842943834962,3761.9831427018053,0.08,100,100,0,0
元旦,2025-01-01,新注册数,-155.7556359579713,-183.62924975742112,-308.789964535079,16.756436817317756,0.12,100,100,0,0
春节,2025-01-28,新注册数,-257.2867752845414,-229.2761132863644,-478.43675051030436,-73.1588636900729,0.0,100,100,0,0
春节,2025-01-29,新注册数,-352.2337624242025,-394.64072674341696,-532.1480554149629,-171.31529004988772,0.0,100,100,0,0
春节,2025-01-30,新注册数,-333.243020918235,-280.4017353855341,-561.1285059711535,-180.02692604559456,0.0,100,100,0,0
春节,2025-01-31,新注册数,-326.7419214344652,-290.9505872812038,-514.972546385126,-176.76590672941515,0.0,100,100,0,0
春节,2025-02-01,新注册数,-321.5267878973533,-283.4984469685698,-500.2019310471609,-156.62537747132723,0.0,100,100,0,0
春节,2025-02-02,新注册数,-312.74458030399984,-262.02455449435496,-501.8497478894448,-183.03388938945793,0.0,100,100,0,0
春节,2025-02-03,新注册数,-300.1124561592708,-256.19877127320336,-501.31506049532413,-164.71089971619185,0.0,100,100,0,0
春节,2025-02-04,新注册数,-251.76098423475295,-245.50187697790952,-452.45267679366714,-43.42153295364153,0.02,100,100,0,0
清明,2025-04-04,新注册数,-299.7273815556558,-318.7391879923114,-483.13412526746805,-143.63500719568097,0.0,100,100,0,0
清明,2025-04-05,新注册数,-293.41529433791914,-299.94792343220945,-461.48390857161735,-100.90274052987284,0.0,100,100,0,0
清明,2025-04-06,新注册数,-167.0409056416949,-169.50956738957203,-315.307158728019,-20.60141248688995,0.02,100,100,0,0
劳动节,2025-05-01,新注册数,-246.18359368660447,-229.83949568591927,-438.5285131722367,-99.83673068171544,0.0,100,100,0,0
劳动节,2025-05-02,新注册数,-214.45497905708405,-187.68169196481887,-405.3740490133295,-79.05225320146691,0.0,100,100,0,0
劳动节,2025-05-03,新注册数,-187.30300682036648,-176.6000019605701,-335.2330427419616,-53.51225749622491,0.0,100,100,0,0
劳动节,2025-05-04,新注册数,-177.81986910196042,-166.3698511579265,-302.9471182364217,-70.83389485000541,0.0,100,100,0,0
劳动节,2025-05-05,新注册数,-43.35508724191517,-42.73657020361071,-148.946176365179,72.0180841507052,0.64,100,100,0,0
端午,2025-05-31,新注册数,-153.45491022233224,-165.54743040184132,-271.29162491234894,-46.606179071437,0.0,100,100,0,0
端午,2025-06-01,新注册数,-122.14986004071034,-116.06953405139828,-227.43232725596363,-51.81564852216536,0.0,100,100,0,0
端午,2025-06-02,新注册数,-113.33182030880322,-106.22985625482468,-214.35494657993544,-37.71945028833685,0.0,100,100,0,0
国庆,2025-10-01,新注册数,-246.51284834716168,-206.20233953762033,-391.1866222032516,-131.7816401932147,0.0,100,100,0,0
国庆,2025-10-02,新注册数,-254.891020904152,-215.1808732891064,-428.39783401853543,-126.85961097937151,0.0,100,100,0,0
国庆,2025-10-03,新注册数,-240.60987779693627,-211.31964539506959,-414.9300070632167,-102.0515031358054,0.0,100,100,0,0
国庆,2025-10-04,新注册数,-225.29201986406952,-193.26638347488188,-370.88818560743175,-114.1639418731646,0.0,100,100,0,0
国庆,2025-10-05,新注册数,-233.98297998429047,-237.30048566946522,-343.49601683813,-134.49969337638453,0.0,100,100,0,0
国庆,2025-10-06,新注册数,-241.81058876818523,-208.37878302843984,-383.3855172423816,-124.75641391739214,0.0,100,100,0,0
国庆,2025-10-07,新注册数,-179.34942579080888,-171.13225643283565,-315.51593653450277,-40.747280614173526,0.0,100,100,0,0
中秋,2025-10-08,新注册数,-41.937433137018154,-52.723736975117745,-120.78561026889369,60.494111021124844,0.48,100,100,0,0
购物节,2025-02-14,新注册数,62.633282020727776,62.93644289679719,-16.900767286125713,151.61202943346368,0.2,100,100,0,0
购物节,2025-03-08,新注册数,87.82214765771062,83.79684033337878,-0.13492190445657748,191.57130609239766,0.06,100,100,0,0
购物节,2025-03-15,新注册数,75.54057534012495,76.78253542499975,-8.296843723741873,158.39390818155206,0.12,100,100,0,0
购物节,2025-06-18,新注册数,13.887811699732511,15.254598591664092,-71.32689431867688,87.86613761436122,0.66,100,100,0,0
购物节,2025-08-08,新注册数,32.604313209126175,34.081012685608286,-45.18494754322086,103.5252437641126,0.38,100,100,0,0
购物节,2025-09-09,新注册数,44.15327606242733,40.696674313289975,-24.45568898491536,143.2790534820776,0.28,100,100,0,0
购物节,2025-11-11,新注册数,54.43247360606648,52.80273303552434,-17.103484813841302,146.25322074906515,0.22,100,100,0,0
购物节,2025-12-12,新注册数,38.99006127086584,37.84358594129898,-27.386455038505947,116.62275471169377,0.3,100,100,0,0
购物节,2025-12-25,新注册数,34.67781246010531,33.75466000052455,-39.38615638884211,112.01494149319798,0.3,100,100,0,0
