节日,日期,指标,均值差,中位数差,CI下限(2.5%),CI上限(97.5%),p值(双侧),n_boot_target,n_boot_valid,n_boot_fail_a,n_boot_fail_b,p_corrected,significant_fdr
元旦,2025-01-01,总消费额,-3813.3670434536866,-3676.8794933741437,-7887.494234587712,-669.856515885535,0.0,50,50,0,0,0.0,True
春节,2025-01-28,总消费额,-3713.0705610352998,-3511.750153322316,-6863.204594215267,-870.0275355224508,0.0,50,50,0,0,0.0,True
春节,2025-01-29,总消费额,-5204.762793022326,-4410.8759729937965,-8465.783092586833,-2398.8395535209947,0.0,50,50,0,0,0.0,True
春节,2025-01-30,总消费额,-4875.0868858670765,-4364.198533503222,-8376.218794169463,-2760.982671567362,0.0,50,50,0,0,0.0,True
春节,2025-01-31,总消费额,-4871.729998924229,-4125.719400007036,-8622.613991400558,-2365.301735186738,0.0,50,50,0,0,0.0,True
春节,2025-02-01,总消费额,-5024.281864195303,-4976.356531075898,-8002.636011069522,-2320.750292701158,0.0,50,50,0,0,0.0,True
春节,2025-02-02,总消费额,-4591.449616953358,-3969.686325075289,-7688.16555745584,-2685.45382746278,0.0,50,50,0,0,0.0,True
春节,2025-02-03,总消费额,-4475.5362425478,-4039.7772897373525,-6842.675128443138,-2063.857997806744,0.0,50,50,0,0,0.0,True
春节,2025-02-04,总消费额,-4018.658677626979,-3886.025326236061,-7190.946914036748,-948.3250976215619,0.0,50,50,0,0,0.0,True
清明,2025-04-04,总消费额,-5657.553084212495,-5892.528049460736,-9361.152870783379,-2426.6551904208577,0.0,50,50,0,0,0.0,True
清明,2025-04-05,总消费额,-5365.308416347326,-5671.793025454951,-8126.450972043064,-1911.317925461247,0.0,50,50,0,0,0.0,True
清明,2025-04-06,总消费额,-2867.5353237600316,-3007.239476655774,-5562.194250869466,-386.4510177330684,0.0,50,50,0,0,0.0,True
劳动节,2025-05-01,总消费额,-4787.5369865807725,-4795.581120490436,-7653.013979396493,-1981.2321427977347,0.0,50,50,0,0,0.0,True
劳动节,2025-05-02,总消费额,-4569.779465171453,-3905.367948761119,-9237.606092251104,-2008.3879708080176,0.0,50,50,0,0,0.0,True
劳动节,2025-05-03,总消费额,-4059.735835443355,-3764.532332284332,-7371.86871056935,-1489.4455400933946,0.0,50,50,0,0,0.0,True
劳动节,2025-05-04,总消费额,-3835.0168789423506,-3271.3275678501186,-6572.888387434578,-1737.537386954083,0.0,50,50,0,0,0.0,True
劳动节,2025-05-05,总消费额,-1840.6258785471396,-2104.426146873654,-4131.701412680537,354.17060461569645,0.12,50,50,0,0,0.1432258064516129,False
端午,2025-05-31,总消费额,-1907.2895461484693,-2040.7624853740106,-3770.3561468999596,-190.6982211055267,0.0,50,50,0,0,0.0,True
端午,2025-06-01,总消费额,-1196.6706736946658,-1110.8998956957014,-2339.282471602456,-279.74692739086004,0.0,50,50,0,0,0.0,True
端午,2025-06-02,总消费额,-1107.263035154922,-1085.7607922595043,-2320.0775402381246,-117.694373326924,0.0,50,50,0,0,0.0,True
国庆,2025-10-01,总消费额,-4947.136058456093,-3960.303913339727,-7935.690298869591,-2872.716939060817,0.0,50,50,0,0,0.0,True
国庆,2025-10-02,总消费额,-5347.779368985599,-5730.79298477569,-8061.302525292236,-2807.2602227699417,0.0,50,50,0,0,0.0,True
国庆,2025-10-03,总消费额,-5244.673208979071,-5072.069283316405,-8610.411699745102,-2668.624429302143,0.0,50,50,0,0,0.0,True
国庆,2025-10-04,总消费额,-4612.181695145808,-3930.508418856688,-7218.72262402845,-2398.713406591554,0.0,50,50,0,0,0.0,True
国庆,2025-10-05,总消费额,-3314.8463967658568,-3423.595391171516,-4886.790507517592,-775.1477730444005,0.0,50,50,0,0,0.0,True
中秋,2025-10-06,总消费额,-3095.5573084083653,-3638.742323126444,-4808.682853547019,-535.8857240489426,0.0,50,50,0,0,0.0,True
国庆,2025-10-07,总消费额,-4605.301606226908,-3706.6824045846797,-7219.13336556204,-2390.047231372047,0.0,50,50,0,0,0.0,True
国庆,2025-10-08,总消费额,-2929.3740168569248,-3334.2468974417743,-4900.230555909692,-235.70363607392454,0.0,50,50,0,0,0.0,True
购物节,2025-02-14,总消费额,1976.7699037339937,2051.8417059373282,106.40153609514303,4155.980200781052,0.04,50,50,0,0,0.05103448275862069,False
购物节,2025-03-08,总消费额,2678.2283241304067,2555.6739450953464,510.3468778762566,5114.906533517387,0.0,50,50,0,0,0.0,True
购物节,2025-03-15,总消费额,2314.8452841207345,1954.5631134754929,611.9130285888617,4701.120405915921,0.04,50,50,0,0,0.05103448275862069,False
购物节,2025-06-18,总消费额,1376.6717055267568,1402.083983855743,-205.48988058657045,3115.276170727228,0.12,50,50,0,0,0.1432258064516129,False
购物节,2025-08-08,总消费额,1548.1239480814356,1344.2026205532939,38.01893830580286,3778.2502554682437,0.04,50,50,0,0,0.05103448275862069,False
购物节,2025-09-09,总消费额,1847.2328243996474,2103.1206674988825,-201.12396224852145,3616.345170985141,0.16,50,50,0,0,0.18215384615384617,False
购物节,2025-11-11,总消费额,2087.944223086875,1986.7833563481486,110.55268007425548,4194.3182005629515,0.04,50,50,0,0,0.05103448275862069,False
购物节,2025-12-12,总消费额,1656.7719251517995,1522.775130453204,33.93899633025576,3547.54297345707,0.04,50,50,0,0,0.05103448275862069,False
购物节,2025-12-25,总消费额,1593.114160126102,1485.4148175028772,-124.80200805143782,3710.127884522168,0.08,50,50,0,0,0.09866666666666667,False
元旦,2025-01-01,新注册数,-149.21947041779853,-178.01191328339547,-302.23011985587345,16.548296311295793,0.16,50,50,0,0,0.18215384615384617,False
春节,2025-01-28,新注册数,-260.7998234130473,-243.47493291748498,-466.02022818800197,-80.99873934528658,0.0,50,50,0,0,0.0,True
春节,2025-01-29,新注册数,-335.79347150180104,-276.33838746610456,-536.551303969755,-183.07108388928503,0.0,50,50,0,0,0.0,True
春节,2025-01-30,新注册数,-322.656003170196,-271.60852593947016,-541.8876668652831,-180.88798285575174,0.0,50,50,0,0,0.0,True
春节,2025-01-31,新注册数,-317.6567244754014,-261.2539604558925,-511.4177641578383,-172.41430712709953,0.0,50,50,0,0,0.0,True
春节,2025-02-01,新注册数,-330.69450303784413,-355.19773626722775,-527.7124260719371,-173.0358143205238,0.0,50,50,0,0,0.0,True
春节,2025-02-02,新注册数,-310.57337607139766,-261.5204202052089,-493.26281236531804,-185.69124280093382,0.0,50,50,0,0,0.0,True
春节,2025-02-03,新注册数,-299.0214939744879,-261.7726214620042,-472.5506601588012,-177.89416809476614,0.0,50,50,0,0,0.0,True
春节,2025-02-04,新注册数,-248.4189439329341,-250.69951496419878,-432.75393904456115,-40.31764237437979,0.0,50,50,0,0,0.0,True
清明,2025-04-04,新注册数,-312.99503473973937,-345.49986477340155,-491.9916977224584,-139.071837564885,0.0,50,50,0,0,0.0,True
清明,2025-04-05,新注册数,-286.6697287370703,-299.57176890098617,-427.40581164953534,-97.64254307582698,0.0,50,50,0,0,0.0,True
清明,2025-04-06,新注册数,-155.5798224616633,-152.81301324948936,-290.2407112982056,-34.07661008884651,0.04,50,50,0,0,0.05103448275862069,False
劳动节,2025-05-01,新注册数,-244.50865191039037,-249.16095769234005,-405.42610896666963,-98.24568125777739,0.0,50,50,0,0,0.0,True
劳动节,2025-05-02,新注册数,-205.6718954469517,-172.72265441415198,-375.51217489425255,-78.66099976694792,0.0,50,50,0,0,0.0,True
