节日,日期,指标,均值差,中位数差,CI下限(2.5%),CI上限(97.5%),p值(双侧),n_boot
春节,2025-01-29,总消费额,-4538.960875291491,-3799.5366460772248,-8094.7918045055585,-2292.8442926952894,0.0,84
劳动节,2025-05-01,总消费额,-4823.238095307535,-4153.811675522418,-8257.110911247497,-2329.846632099107,0.0,89
国庆,2025-10-01,总消费额,-4760.0053488341755,-4799.046987065061,-7705.206559340463,-2273.8878744518192,0.0,87
购物节,2025-02-14,总消费额,2239.4173162272336,1902.2251027903303,408.78388039955706,4788.546414430125,0.023529411764705882,85
购物节,2025-06-18,总消费额,1222.7575783071413,1160.765697446438,-659.8464699728853,3243.597218364786,0.11627906976744186,86
购物节,2025-11-11,总消费额,1914.5755765066783,1798.3828496026895,441.02847383235905,3879.815317430882,0.022222222222222223,90
春节,2025-01-29,新注册数,-301.9309791093618,-243.18761873951243,-547.6660670181301,-169.86581836648267,0.0,84
劳动节,2025-05-01,新注册数,-241.90614158944308,-207.62095570799022,-402.6550743720613,-111.7535985653104,0.0,89
国庆,2025-10-01,新注册数,-252.45964754993835,-276.5000103648941,-385.1313796463095,-124.19406405249016,0.0,87
购物节,2025-02-14,新注册数,73.59153010422165,61.398840859213465,-14.807079362858467,177.92127027047425,0.07058823529411765,85
购物节,2025-06-18,新注册数,4.582565764377904,3.7422586283978205,-81.85187586316313,89.94440646619165,0.9069767441860465,86
购物节,2025-11-11,新注册数,44.94259444050816,41.020318975682414,-14.751895341029027,127.91762137164767,0.2,90
