关键词,方案ID,消费额,跳出率,平均访问时长_秒,cluster
9,63563817,3424.41,0.6109,196.0,1
726,63563817,252.86,0.9059,39.0,1
1186,63563817,1.79,1.0,13.0,2
1567,63563817,37.32,0.6957,187.0,2
1667,63563817,88.09,0.8333,49.0,1
2123,63563817,6.32,1.0,8.0,2
2478,63563817,49.0,0.4737,646.0,0
2505,63563817,6.15,0.0,142.0,0
2570,63563817,10.34,0.5,54.0,0
2889,63563817,1.89,1.0,21.0,2
2892,63563817,30.77,0.6842,119.0,2
2985,63563817,114.03,0.6901,164.0,1
3169,63563817,5.66,1.0,7.0,2
3304,63563817,7.68,0.75,50.0,2
3501,63563817,13.49,0.75,361.0,2
3732,63563817,15.92,0.9,29.0,2
4048,63563817,2.81,0.0,477.0,0
4186,63563817,3.17,0.5,124.0,0
4675,63563817,1.45,0.0,42.0,0
4713,63563817,7.19,0.5,31.0,0
4773,63563817,52.44,0.8621,48.0,2
4827,63563817,14.14,0.6667,255.0,2
4868,63563817,6.19,1.0,191.0,2
5134,63563817,68.89,0.6744,178.0,1
5267,63563817,3.36,0.5,133.0,0
5307,63563817,88.18,0.6667,90.0,1
5374,63563817,38.32,0.7895,153.0,2
5418,63563817,16.8,0.8,104.0,2
5592,63563817,7.11,1.0,7.0,2
5801,63563817,0.5,0.0,32.0,0
6083,63563817,126.96,0.6053,197.0,1
6149,63563817,183.37,0.4804,397.0,1
6325,63563817,18.15,0.75,41.0,2
6352,63563817,61.07,0.4286,404.0,0
6414,63563817,1.78,1.0,260.0,2
480,63563817,12.25,1.0,187.0,2
770,63563817,41.28,0.75,107.0,2
934,63563817,3.84,0.5,16.0,0
1262,63563817,2.21,1.0,11.0,2
1385,63563817,11.15,1.0,43.0,2
2397,63563817,8.06,0.75,293.0,2
3286,63563817,1.9,1.0,19.0,2
4348,63563817,23.31,0.8333,25.0,2
4497,63563817,15.14,0.963,30.0,2
5236,63563817,7.11,0.5,1272.0,0
5700,63563817,3.63,1.0,3.0,2
6207,63563817,2.68,0.0,19.0,0
6545,63563817,14.84,0.5714,180.0,2
6604,63563817,1.8,0.0,9.0,0
147,63563817,41.96,0.9565,80.0,2
193,63563817,4.83,1.0,63.0,2
384,63563817,25.16,0.8824,67.0,2
405,63563817,39.06,1.0,56.0,2
431,63563817,121.72,0.9146,114.0,1
504,63563817,60.02,0.9667,60.0,2
648,63563817,5.79,1.0,83.0,2
811,63563817,20.17,0.9167,137.0,2
1307,63563817,0.81,0.0,,0
1461,63563817,28.41,1.0,29.0,2
1490,63563817,1.88,1.0,8.0,2
1552,63563817,11.22,1.0,3.0,2
1812,63563817,7.32,1.0,3.0,2
2038,63563817,84.93,0.9057,128.0,2
2107,63563817,60.53,0.9714,90.0,2
2249,63563817,4.33,1.0,46.0,2
2270,63563817,26.65,1.0,34.0,2
2275,63563817,264.04,0.9463,87.0,1
2499,63563817,1.08,0.0,,0
2561,63563817,402.98,0.9607,79.0,1
2574,63563817,4.62,1.0,120.0,2
2596,63563817,1.47,1.0,1.0,2
2669,63563817,7.34,0.8571,23.0,2
2733,63563817,9.83,1.0,88.0,2
2774,63563817,37.05,1.0,93.0,2
2797,63563817,5.41,1.0,4.0,2
2803,63563817,8.18,1.0,23.0,2
2863,63563817,27.28,1.0,86.0,2
2938,63563817,40.92,0.9091,72.0,2
2959,63563817,1.27,1.0,25.0,2
3163,63563817,614.71,0.9824,44.0,1
3422,63563817,7.28,1.0,66.0,2
3465,63563817,1.98,1.0,1.0,2
3801,63563817,12.08,1.0,40.0,2
3863,63563817,28.12,1.0,39.0,2
3972,63563817,18.12,0.9,70.0,2
4023,63563817,29.05,0.9375,72.0,2
4166,63563817,24.53,0.9444,41.0,2
4345,63563817,0.56,0.0,,0
4363,63563817,0.15,1.0,15.0,2
4400,63563817,14.68,1.0,4.0,2
4458,63563817,14.62,1.0,237.0,2
4527,63563817,103.53,0.9153,293.0,1
4667,63563817,8.06,0.7059,196.0,2
4700,63563817,59.83,0.9231,83.0,2
4738,63563817,3.78,1.0,2.0,2
4798,63563817,105.25,0.973,83.0,2
4805,63563817,39.87,1.0,36.0,2
4836,63563817,2.94,1.0,61.0,2
4837,63563817,36.73,0.9583,79.0,2
4857,63563817,26.8,0.875,31.0,2
4860,63563817,46.03,0.5625,173.0,1
5241,63563817,6.42,1.0,33.0,2
5351,63563817,4.07,0.75,558.0,2
5532,63563817,68.56,0.9574,119.0,2
5926,63563817,31.28,0.9412,77.0,2
5995,63563817,0.92,0.0,,0
6242,63563817,4.45,1.0,43.0,2
6282,63563817,162.07,0.947,76.0,1
6633,63563817,15.18,1.0,142.0,2
9,63563817,34.07,0.7143,390.0,2
2397,63563817,2.26,0.5,1490.0,0
2478,63563817,101.65,0.74,136.0,1
2706,63563817,0.48,0.0,,0
2941,63563817,38.41,0.4138,643.0,0
3617,63563817,1.68,1.0,120.0,2
4017,63563817,18.21,0.6364,315.0,2
4097,63563817,37.12,0.6316,449.0,2
4101,63563817,33.58,0.6538,97.0,2
4135,63563817,1.57,1.0,,2
4177,63563817,2053.55,0.4145,483.0,1
4195,63563817,25.1,1.0,57.0,2
5257,63563817,12.66,1.0,55.0,2
5374,63563817,73.72,0.75,75.0,1
5649,63563817,9.69,0.8,466.0,2
6082,63563817,1.85,1.0,12.0,2
6083,63563817,22.89,0.4375,371.0,0
6224,63563817,3.44,1.0,11.0,2
6245,63563817,6.07,0.0,1360.0,0
228,63563817,4.64,1.0,62.0,2
925,63563817,109.28,0.9231,44.0,1
990,63563817,12.69,0.7143,415.0,2
1108,63563817,1.73,1.0,25.0,2
1186,63563817,55.07,0.8974,146.0,2
1517,63563817,9.07,0.8333,11.0,2
1567,63563817,367.4,0.6996,208.0,1
1583,63563817,0.48,1.0,120.0,2
1667,63563817,93.58,0.8824,101.0,1
2123,63563817,72.85,0.75,249.0,1
2212,63563817,3.45,1.0,61.0,2
2294,63563817,6.61,1.0,15.0,2
2505,63563817,13.67,0.875,85.0,2
2889,63563817,14.0,1.0,20.0,2
2892,63563817,148.25,0.82,140.0,1
2980,63563817,1.88,1.0,1.0,2
2985,63563817,1810.51,0.8828,84.0,1
3106,63563817,18.29,0.7273,78.0,2
3169,63563817,1047.53,0.8812,64.0,1
3180,63563817,3.89,0.6667,676.0,2
3304,63563817,17.28,0.8182,84.0,2
3501,63563817,1.01,0.0,,0
3732,63563817,62.1,0.9,22.0,2
3818,63563817,5.74,0.0,54.0,0
4048,63563817,9.39,0.5,563.0,0
4126,63563817,8.95,1.0,46.0,2
4155,63563817,5.39,0.6667,30.0,2
4403,63563817,25.77,0.4444,413.0,0
4675,63563817,22.54,0.7059,172.0,2
4713,63563817,4.68,0.0,278.0,0
4773,63563817,205.93,0.9248,58.0,1
4791,63563817,24.87,0.3846,617.0,0
4827,63563817,96.36,0.7097,256.0,1
5010,63563817,63.52,0.8444,114.0,2
5134,63563817,168.35,0.6371,296.0,1
5267,63563817,110.96,0.8214,167.0,1
5330,63563817,121.6,0.4861,767.0,1
5418,63563817,15.18,0.375,699.0,0
5592,63563817,28.18,0.9375,34.0,2
5701,63563817,25.42,0.7857,191.0,2
5812,63563817,5.56,0.75,192.0,2
5840,63563817,3.66,1.0,16.0,2
6325,63563817,83.51,0.9153,94.0,2
6352,63563817,70.17,0.375,387.0,0
6364,63563817,0.9,1.0,7.0,2
1048,495403620,1263.59,0.082,670.0,1
1607,495403620,1149.42,0.0958,710.0,1
3989,495403620,75197.1,0.0814,631.0,1
5778,495403620,46615.59,0.0839,653.0,1
2,495403620,14.89,0.8333,86.0,2
6,495403620,4.69,1.0,72.0,2
14,495403620,1.48,1.0,1.0,2
31,495403620,0.83,0.0,,0
33,495403620,20.07,0.9375,40.0,2
55,495403620,0.9,1.0,120.0,2
57,495403620,5.02,1.0,2.0,2
62,495403620,5.88,0.8333,372.0,2
104,495403620,210.57,0.8636,64.0,1
149,495403620,1.23,1.0,120.0,2
151,495403620,48.47,0.875,73.0,2
154,495403620,50.67,0.9615,94.0,2
175,495403620,6.73,1.0,10.0,2
190,495403620,4.14,1.0,21.0,2
217,495403620,27.42,0.8333,73.0,2
235,495403620,46.26,0.7667,161.0,2
255,495403620,30.98,0.8571,42.0,2
306,495403620,0.65,0.0,40.0,0
338,495403620,19.59,0.9,49.0,2
400,495403620,79.42,0.9057,76.0,2
427,495403620,14.62,1.0,3.0,2
438,495403620,10.63,0.8571,133.0,2
444,495403620,11427.64,0.1014,598.0,1
523,495403620,9.83,0.75,298.0,2
524,495403620,8.95,0.8,176.0,2
528,495403620,1.27,0.0,,0
552,495403620,0.94,1.0,1.0,2
570,495403620,4.51,1.0,62.0,2
646,495403620,4.58,1.0,96.0,2
652,495403620,2.01,0.5,63.0,0
665,495403620,893.04,0.7539,174.0,1
700,495403620,111.9,0.6778,186.0,1
703,495403620,1.38,1.0,6.0,2
711,495403620,0.81,0.0,,0
734,495403620,1.77,1.0,44.0,2
755,495403620,5.73,0.8333,235.0,2
859,495403620,32.11,0.6364,626.0,2
875,495403620,1047.58,0.8092,149.0,1
909,495403620,5.4,0.0,,0
958,495403620,0.37,1.0,12.0,2
982,495403620,9.1,0.9,20.0,2
1018,495403620,102.67,0.5556,376.0,1
1040,495403620,5.45,0.5,261.0,0
1049,495403620,1.61,1.0,2.0,2
1092,495403620,24.51,0.875,329.0,2
1094,495403620,2.51,1.0,177.0,2
1164,495403620,18.53,0.4615,206.0,0
1241,495403620,3.09,0.75,462.0,2
1257,495403620,212.08,0.5614,344.0,1
1268,495403620,9.13,1.0,5.0,2
1270,495403620,3.53,1.0,3.0,2
1285,495403620,2.38,1.0,2.0,2
1314,495403620,23.63,0.8462,148.0,2
1316,495403620,45.15,1.0,112.0,2
1318,495403620,1364.38,0.8394,130.0,1
1327,495403620,1.34,1.0,6.0,2
1332,495403620,7.5,0.6667,175.0,2
1339,495403620,1.29,1.0,11.0,2
1373,495403620,0.49,1.0,15.0,2
1439,495403620,5.2,0.5,99.0,0
1465,495403620,0.97,0.0,214.0,0
1475,495403620,0.64,1.0,120.0,2
1513,495403620,33.69,0.9474,59.0,2
1531,495403620,3.87,0.5714,63.0,2
1647,495403620,1.1,0.0,,0
1655,495403620,968.54,0.8632,105.0,1
1666,495403620,16.26,0.5,160.0,0
1676,495403620,270.03,0.75,199.0,1
1719,495403620,5.28,1.0,79.0,2
1735,495403620,62.35,0.8718,170.0,2
1752,495403620,4.32,0.5,291.0,0
1764,495403620,12.51,0.2727,582.0,0
1802,495403620,217.36,0.5875,326.0,1
1921,495403620,1.63,1.0,22.0,2
2006,495403620,4.41,1.0,63.0,2
2043,495403620,1.63,0.0,,0
2093,495403620,2.33,1.0,6.0,2
2113,495403620,32.61,0.875,145.0,2
2176,495403620,17.75,0.6667,376.0,2
2178,495403620,1.35,1.0,120.0,2
2186,495403620,2.48,1.0,10.0,2
2188,495403620,5.13,1.0,10.0,2
2226,495403620,43.74,0.7714,178.0,2
2351,495403620,42.25,0.8182,47.0,2
2354,495403620,2.88,0.0,1618.0,0
2370,495403620,1.26,1.0,3.0,2
2432,495403620,3.85,1.0,38.0,2
2525,495403620,13.42,1.0,30.0,2
2534,495403620,6.02,1.0,53.0,2
2541,495403620,21686.91,0.4974,328.0,1
2547,495403620,2.17,1.0,3.0,2
2551,495403620,2.83,0.5,276.0,0
2579,495403620,41.09,0.9,55.0,2
2584,495403620,115.98,0.9412,39.0,1
2602,495403620,14.01,0.7143,10.0,2
2633,495403620,60.22,0.7576,252.0,2
2682,495403620,6.07,0.25,888.0,0
2690,495403620,5.24,1.0,48.0,2
2723,495403620,340.06,0.7402,206.0,1
2738,495403620,2.73,1.0,120.0,2
2748,495403620,43.02,0.6,347.0,2
2780,495403620,95.7,0.7119,195.0,1
2795,495403620,3.49,1.0,85.0,2
2813,495403620,5.37,1.0,51.0,2
2834,495403620,1.88,1.0,4.0,2
2843,495403620,150.65,0.814,123.0,1
2854,495403620,4.83,1.0,57.0,2
2855,495403620,15.1,1.0,120.0,2
2874,495403620,5435.94,0.3591,411.0,1
2890,495403620,6.51,0.8,48.0,2
2919,495403620,8.23,0.8182,235.0,2
2955,495403620,3.09,1.0,3.0,2
2993,495403620,22.18,0.8462,328.0,2
2996,495403620,74.77,0.2692,487.0,0
2997,495403620,184.97,0.7664,108.0,1
3008,495403620,45.41,0.6042,319.0,2
3064,495403620,13.2,0.9,60.0,2
3070,495403620,9.57,0.6,61.0,2
3093,495403620,0.32,0.0,,0
3135,495403620,2.7,0.5,1001.0,0
3153,495403620,0.72,1.0,120.0,2
3165,495403620,53.44,0.875,128.0,2
3222,495403620,1.65,1.0,2.0,2
3327,495403620,22.08,0.7,539.0,2
3352,495403620,37.67,0.9524,122.0,2
3353,495403620,0.8,1.0,,2
3374,495403620,2398.88,0.2606,480.0,1
3379,495403620,31.79,0.65,369.0,2
3382,495403620,1533.0,0.4779,384.0,1
3393,495403620,298.34,0.7182,103.0,1
3416,495403620,4.17,1.0,120.0,2
3417,495403620,6.95,0.6,33.0,2
3451,495403620,2.63,0.5,14.0,0
3548,495403620,11.61,0.9167,279.0,2
3567,495403620,1.35,1.0,25.0,2
3575,495403620,160.27,0.5,370.0,1
3659,495403620,5.77,1.0,184.0,2
3677,495403620,6.93,1.0,44.0,2
3769,495403620,1.24,1.0,3.0,2
3922,495403620,2.35,1.0,25.0,2
3923,495403620,14.78,0.4286,930.0,0
3962,495403620,8.52,1.0,44.0,2
3973,495403620,4.8,0.8,77.0,2
3989,495403620,106.06,0.4483,394.0,1
4002,495403620,26.24,0.75,288.0,2
4016,495403620,48.68,0.6522,172.0,2
4046,495403620,21.51,0.8235,55.0,2
4047,495403620,50.95,0.7778,326.0,2
4052,495403620,1.19,1.0,9.0,2
4158,495403620,36.54,0.92,98.0,2
4163,495403620,0.49,1.0,1.0,2
4165,495403620,36.37,0.8095,153.0,2
4171,495403620,1.68,1.0,8.0,2
4188,495403620,1533.24,0.5805,286.0,1
4189,495403620,19.42,0.6667,57.0,2
4251,495403620,1.23,0.0,,0
4321,495403620,89.22,0.566,525.0,1
4331,495403620,16.86,1.0,48.0,2
4388,495403620,8.28,1.0,32.0,2
4422,495403620,5.1,0.6,1425.0,2
4479,495403620,7.22,1.0,52.0,2
4480,495403620,21.87,0.9091,34.0,2
4498,495403620,3.53,1.0,120.0,2
4529,495403620,1.62,1.0,2.0,2
4560,495403620,15.29,0.6667,121.0,2
4581,495403620,3.58,1.0,63.0,2
4594,495403620,20.64,1.0,40.0,2
4613,495403620,5.38,1.0,80.0,2
4634,495403620,375.36,0.5534,438.0,1
4637,495403620,5.75,1.0,54.0,2
4706,495403620,6.41,0.8889,94.0,2
4717,495403620,1.77,1.0,15.0,2
4762,495403620,0.97,1.0,2.0,2
4828,495403620,11.05,0.5,199.0,0
4865,495403620,61.99,0.84,64.0,2
4888,495403620,33.02,0.7083,202.0,2
4914,495403620,2.05,1.0,92.0,2
4927,495403620,22.07,0.8,61.0,2
4931,495403620,0.81,1.0,1.0,2
4935,495403620,10.31,1.0,33.0,2
4949,495403620,21.56,0.9286,59.0,2
4960,495403620,10.94,0.7273,46.0,2
5035,495403620,66.79,0.9167,104.0,2
5064,495403620,1.33,1.0,43.0,2
5126,495403620,10.69,1.0,21.0,2
5163,495403620,2.85,1.0,3.0,2
5229,495403620,28.35,1.0,54.0,2
5249,495403620,371.71,0.9457,71.0,1
5306,495403620,13.59,0.8889,66.0,2
5313,495403620,11.64,0.7857,171.0,2
5314,495403620,0.29,1.0,,2
5395,495403620,1.19,0.0,,0
5406,495403620,6.44,1.0,77.0,2
