类别,指标,值,权重(混合),权重(CRITIC)
设计质量与创意,单元上方位占比均值,0.2562,0.2222,0.2317
设计质量与创意,上方位占比评分,91.7,0.2222,0.2317
设计质量与创意,上方位占比区间,"[0.039, 0.886]",0.2222,0.2317
设计质量与创意,上方位CTR均值,0.1352,0.2222,0.2317
设计质量与创意,上方位CTR评分,12.7,0.2222,0.2317
设计质量与创意,上方位CPC倍数均值,1.156,0.2222,0.2317
设计质量与创意,上方位CPC倍数评分,71.6,0.2222,0.2317
设计质量与创意,关键词分布基尼系数,0.4052,0.2222,0.2317
设计质量与创意,关键词分布评分,47.4,0.2222,0.2317
设计质量与创意,综合评分,55.8,0.2222,0.2317
关键词管理与运用,关键词总数,2227,0.1483,0.0832
关键词管理与运用,有消费关键词数,1337,0.1483,0.0832
关键词管理与运用,有效率,0.6004,0.1483,0.0832
关键词管理与运用,有效率评分,57.2,0.1483,0.0832
关键词管理与运用,CPC中位数,1.106,0.1483,0.0832
关键词管理与运用,CPC P90,2.371,0.1483,0.0832
关键词管理与运用,高价词占比(>5元),0.0389,0.1483,0.0832
关键词管理与运用,高价词评分,100.0,0.1483,0.0832
关键词管理与运用,跳出率均值,0.7343,0.1483,0.0832
关键词管理与运用,跳出率评分,21.9,0.1483,0.0832
关键词管理与运用,高跳出词占比,0.4076,0.1483,0.0832
关键词管理与运用,高跳出评分,30.8,0.1483,0.0832
关键词管理与运用,平均访问时长_秒,167.1,0.1483,0.0832
关键词管理与运用,访问时长评分,100.0,0.1483,0.0832
关键词管理与运用,前20%消费占比,0.9921,0.1483,0.0832
关键词管理与运用,集中度评分,0.0,0.1483,0.0832
关键词管理与运用,综合评分,51.6,0.1483,0.0832
出价策略与预算,CPC均值,1.435,0.3216,0.3523
出价策略与预算,CPC标准差,0.811,0.3216,0.3523
出价策略与预算,CPC变异系数,0.565,0.3216,0.3523
出价策略与预算,CPC稳定性评分,93.5,0.3216,0.3523
出价策略与预算,上方位消费占比,0.7035,0.3216,0.3523
出价策略与预算,上方位渗透评分,65.5,0.3216,0.3523
出价策略与预算,月度预算变异系数,0.332,0.3216,0.3523
出价策略与预算,月度均匀度评分,83.2,0.3216,0.3523
出价策略与预算,方案CPC差异,0.316,0.3216,0.3523
出价策略与预算,方案一致性评分,68.4,0.3216,0.3523
出价策略与预算,综合评分,77.6,0.3216,0.3523
投放策略与时间,消费注册相关系数,0.8178,0.3079,0.3327
投放策略与时间,消费注册评分,90.9,0.3079,0.3327
投放策略与时间,周内预算变异,0.309,0.3079,0.3327
投放策略与时间,周内均匀度评分,69.1,0.3079,0.3327
投放策略与时间,转化率变异系数,0.577,0.3079,0.3327
投放策略与时间,转化率稳定度评分,71.2,0.3079,0.3327
投放策略与时间,月度注册下降月份占比,0.4545,0.3079,0.3327
投放策略与时间,趋势评分,31.8,0.3079,0.3327
投放策略与时间,综合评分,65.8,0.3079,0.3327
