维度,扰动,扰动后权重,综合评分
设计质量与创意,-0.2,0.0222,67.7
设计质量与创意,-0.15,0.0722,67.09
设计质量与创意,-0.1,0.1222,66.48
设计质量与创意,-0.05,0.1722,65.88
设计质量与创意,0.0,0.2222,65.27
设计质量与创意,0.05,0.2722,64.66
设计质量与创意,0.1,0.3222,64.05
设计质量与创意,0.15,0.3722,63.44
设计质量与创意,0.2,0.4222,62.83
设计质量与创意_汇总,极差=4.87,-,"[62.83, 67.70]"
关键词管理与运用,-0.2,0,67.65
关键词管理与运用,-0.15,0,67.65
关键词管理与运用,-0.1,0.0483,66.87
关键词管理与运用,-0.05,0.0983,66.07
关键词管理与运用,0.0,0.1483,65.27
关键词管理与运用,0.05,0.1983,64.46
关键词管理与运用,0.1,0.2483,63.66
关键词管理与运用,0.15,0.2983,62.86
关键词管理与运用,0.2,0.3483,62.06
关键词管理与运用_汇总,极差=5.59,-,"[62.06, 67.65]"
出价策略与预算,-0.2,0.1216,61.63
出价策略与预算,-0.15,0.1716,62.54
出价策略与预算,-0.1,0.2216,63.45
出价策略与预算,-0.05,0.2716,64.36
出价策略与预算,0.0,0.3216,65.27
出价策略与预算,0.05,0.3716,66.18
出价策略与预算,0.1,0.4216,67.08
出价策略与预算,0.15,0.4716,67.99
出价策略与预算,0.2,0.5216,68.9
出价策略与预算_汇总,极差=7.27,-,"[61.63, 68.90]"
投放策略与时间,-0.2,0.1079,65.11
投放策略与时间,-0.15,0.1579,65.15
投放策略与时间,-0.1,0.2079,65.19
投放策略与时间,-0.05,0.2579,65.23
投放策略与时间,0.0,0.3079,65.27
投放策略与时间,0.05,0.3579,65.31
投放策略与时间,0.1,0.4079,65.34
投放策略与时间,0.15,0.4579,65.38
投放策略与时间,0.2,0.5079,65.42
投放策略与时间_汇总,极差=0.31,-,"[65.11, 65.42]"
