mix_ratio_critic,w_设计质量与创意,w_关键词管理与运用,w_出价策略与预算,w_投放策略与时间,score_s1,score_s2,score_s3,score_s4,score_s5,rank_s1,rank_s2,rank_s3,rank_s4,rank_s5,rank_pearson_vs_default,rank_spearman_vs_default
1.0,0.093009300930093,0.07380738073807382,0.28002800280028006,0.5531553155315532,77.44494249424943,70.6825502550255,63.502405240524055,78.92541754175417,41.7827492749275,4,1,2,3,5,1.0,1.0
0.9,0.10370933384004559,0.09642867858107229,0.27702493224390196,0.5228370553349801,76.12977988018922,69.44503385304677,63.40565600904081,77.7802227200448,42.38842885859727,4,1,2,3,5,1.0,1.0
0.8,0.11440915273221858,0.11904952396191694,0.2740219217537403,0.4925194015521242,74.81464357148572,68.20754220337628,63.30890871269701,76.63505080406433,42.99409632770622,4,1,2,3,5,1.0,1.0
0.7,0.1251087576130329,0.1416699168941826,0.27101897132799296,0.46220235416479155,73.49953356734972,66.97007530527137,63.2121633514346,75.48990179312551,43.59975168261778,4,1,2,3,5,1.0,1.0
0.6,0.13580814848890932,0.16428985739144347,0.2680160809648579,0.4318859131547893,72.18444986699203,65.73263315798948,63.11541992519551,74.3447756865412,44.20539492369542,4,1,2,3,5,1.0,1.0
0.5,0.14650732536626832,0.18690934546727336,0.2650132506625331,0.4015700785039252,70.86939246962348,64.49521576078804,63.01867843392169,73.19967248362417,44.81102605130256,4,1,2,3,5,1.0,1.0
0.4,0.15720628825153007,0.2095283811352454,0.26201048041921676,0.3712548501940078,69.55436137445497,63.25782311292452,62.92193887755511,72.05459218368735,45.41664506580263,4,1,2,3,5,1.0,1.0
0.3,0.16790503715111454,0.23214696440893226,0.259007770233107,0.34094022820684616,68.2393565806974,62.0204552136564,62.82520125603768,70.90953478604358,46.02225196755903,4,1,3,2,5,0.9,0.9
0.2,0.17860357207144148,0.25476509530190605,0.25600512010240206,0.3106262125242505,66.92437808756175,60.783112062241244,62.72846556931138,69.7645002900058,46.62784675693514,4,1,3,2,5,0.9,0.9
0.1,0.1893018930189302,0.27738277382773824,0.2530025300253002,0.28031280312803125,65.60942589425893,59.54579365793657,62.63173181731816,68.61948869488694,47.23342943429434,4,1,3,2,5,0.9,0.9
0.0,0.2,0.3,0.25,0.25,64.2945,58.308499999999995,62.535,67.4745,47.839000000000006,4,1,3,2,5,0.9,0.9
