日期,节日,窗口实际值,窗口无假日预测,节日贡献绝对值,节日贡献百分比,指标
2025-01-01,元旦,4268.22,5291.95,-1023.73,-19.35,消费额
2025-01-28,春节,2278.08,7123.15,-4845.07,-68.02,消费额
2025-01-29,春节,1246.65,7469.27,-6222.62,-83.31,消费额
2025-01-30,春节,1329.88,7231.13,-5901.25,-81.61,消费额
2025-01-31,春节,1524.35,6709.22,-5184.87,-77.28,消费额
2025-02-01,春节,1958.08,4236.95,-2278.87,-53.79,消费额
2025-02-02,春节,2558.32,1545.69,1012.63,65.51,消费额
2025-02-03,春节,3209.67,3313.8,-104.13,-3.14,消费额
2025-02-04,春节,3814.21,6102.44,-2288.23,-37.5,消费额
2025-04-04,清明,635.94,4916.32,-4280.38,-87.06,消费额
2025-04-05,清明,853.2,2524.09,-1670.89,-66.2,消费额
2025-04-06,清明,1498.62,-92.59,1591.21,0.0,消费额
2025-05-01,劳动节,969.98,9427.72,-8457.74,-89.71,消费额
2025-05-02,劳动节,1071.53,9251.89,-8180.36,-88.42,消费额
2025-05-03,劳动节,1158.31,7073.51,-5915.2,-83.62,消费额
2025-05-04,劳动节,1460.94,4616.3,-3155.36,-68.35,消费额
2025-05-05,劳动节,4318.28,6551.73,-2233.45,-34.09,消费额
2025-05-31,端午,3474.18,6687.87,-3213.69,-48.05,消费额
2025-06-01,端午,3266.43,3960.72,-694.29,-17.53,消费额
2025-06-02,端午,4674.69,5629.28,-954.59,-16.96,消费额
2025-10-01,国庆,860.73,6819.65,-5958.92,-87.38,消费额
2025-10-02,国庆,826.99,6789.23,-5962.24,-87.82,消费额
2025-10-03,国庆,923.02,6449.68,-5526.66,-85.69,消费额
2025-10-04,国庆,1019.78,4126.21,-3106.43,-75.29,消费额
2025-10-05,国庆,1220.99,1542.67,-321.68,-20.85,消费额
2025-10-06,国庆,1615.97,3370.71,-1754.74,-52.06,消费额
2025-10-07,国庆,2952.51,6165.75,-3213.24,-52.11,消费额
2025-10-08,中秋,5925.32,6800.39,-875.07,-12.87,消费额
2025-02-14,购物节,6589.55,10379.75,-3790.2,-36.52,消费额
2025-03-08,购物节,16988.5,18115.91,-1127.41,-6.22,消费额
2025-03-15,购物节,14326.93,13948.1,378.83,2.72,消费额
2025-06-18,购物节,5526.35,6013.64,-487.29,-8.1,消费额
2025-08-08,购物节,11465.47,10926.92,538.55,4.93,消费额
2025-09-09,购物节,11753.5,9789.09,1964.41,20.07,消费额
2025-11-11,购物节,14416.16,9909.54,4506.62,45.48,消费额
2025-12-12,购物节,10397.27,9261.96,1135.31,12.26,消费额
2025-12-25,购物节,10714.86,10489.26,225.6,2.15,消费额
2025-01-01,元旦,386.0,479.32,-93.32,-19.47,注册量
2025-01-28,春节,117.0,448.83,-331.83,-73.93,注册量
2025-01-29,春节,82.0,432.44,-350.44,-81.04,注册量
2025-01-30,春节,82.0,397.8,-315.8,-79.39,注册量
2025-01-31,春节,83.0,341.57,-258.57,-75.7,注册量
2025-02-01,春节,99.0,208.28,-109.28,-52.47,注册量
2025-02-02,春节,128.0,89.28,38.72,43.36,注册量
2025-02-03,春节,164.0,182.87,-18.87,-10.32,注册量
2025-02-04,春节,217.0,308.73,-91.73,-29.71,注册量
2025-04-04,清明,53.0,257.81,-204.81,-79.44,注册量
2025-04-05,清明,73.0,178.69,-105.69,-59.15,注册量
2025-04-06,清明,120.0,112.66,7.34,6.52,注册量
2025-05-01,劳动节,101.0,483.78,-382.78,-79.12,注册量
2025-05-02,劳动节,111.0,443.35,-332.35,-74.96,注册量
2025-05-03,劳动节,136.0,326.17,-190.17,-58.3,注册量
2025-05-04,劳动节,172.0,222.98,-50.98,-22.86,注册量
2025-05-05,劳动节,404.0,331.38,72.62,21.92,注册量
2025-05-31,端午,140.0,335.56,-195.56,-58.28,注册量
2025-06-01,端午,133.0,213.48,-80.48,-37.7,注册量
2025-06-02,端午,225.0,300.15,-75.15,-25.04,注册量
2025-10-01,国庆,92.0,472.39,-380.39,-80.52,注册量
2025-10-02,国庆,86.0,460.47,-374.47,-81.32,注册量
2025-10-03,国庆,93.0,426.59,-333.59,-78.2,注册量
2025-10-04,国庆,113.0,314.44,-201.44,-64.06,注册量
2025-10-05,国庆,129.0,214.55,-85.55,-39.87,注册量
2025-10-06,国庆,144.0,324.36,-180.36,-55.6,注册量
2025-10-07,国庆,238.0,462.75,-224.75,-48.57,注册量
2025-10-08,中秋,463.0,474.79,-11.79,-2.48,注册量
2025-02-14,购物节,383.0,501.87,-118.87,-23.69,注册量
2025-03-08,购物节,764.0,1158.17,-394.17,-34.03,注册量
2025-03-15,购物节,688.0,703.51,-15.51,-2.2,注册量
2025-06-18,购物节,256.0,284.38,-28.38,-9.98,注册量
2025-08-08,购物节,548.0,570.04,-22.04,-3.87,注册量
2025-09-09,购物节,660.0,672.1,-12.1,-1.8,注册量
2025-11-11,购物节,782.0,609.42,172.58,28.32,注册量
2025-12-12,购物节,524.0,535.05,-11.05,-2.07,注册量
2025-12-25,购物节,539.0,508.29,30.71,6.04,注册量
