维度,扰动,扰动后权重,综合评分
设计质量与创意,-0.2,0,73.53
设计质量与创意,-0.15,0.0494,73.31
设计质量与创意,-0.1,0.0994,73.08
设计质量与创意,-0.05,0.1494,72.85
设计质量与创意,0.0,0.1994,72.63
设计质量与创意,0.05,0.2494,72.4
设计质量与创意,0.1,0.2994,72.17
设计质量与创意,0.15,0.3494,71.95
设计质量与创意,0.2,0.3994,71.72
设计质量与创意_汇总,极差=1.81,-,"[71.72, 73.53]"
关键词管理与运用,-0.2,0,73.55
关键词管理与运用,-0.15,0,73.55
关键词管理与运用,-0.1,0.0355,73.31
关键词管理与运用,-0.05,0.0855,72.97
关键词管理与运用,0.0,0.1355,72.63
关键词管理与运用,0.05,0.1855,72.28
关键词管理与运用,0.1,0.2355,71.94
关键词管理与运用,0.15,0.2855,71.6
关键词管理与运用,0.2,0.3355,71.26
关键词管理与运用_汇总,极差=2.30,-,"[71.26, 73.55]"
出价策略与预算,-0.2,0.0959,68.74
出价策略与预算,-0.15,0.1459,69.71
出价策略与预算,-0.1,0.1959,70.68
出价策略与预算,-0.05,0.2459,71.65
出价策略与预算,0.0,0.2959,72.63
出价策略与预算,0.05,0.3459,73.6
出价策略与预算,0.1,0.3959,74.57
出价策略与预算,0.15,0.4459,75.54
出价策略与预算,0.2,0.4959,76.51
出价策略与预算_汇总,极差=7.77,-,"[68.74, 76.51]"
投放策略与时间,-0.2,0.1692,74.79
投放策略与时间,-0.15,0.2192,74.25
投放策略与时间,-0.1,0.2692,73.71
投放策略与时间,-0.05,0.3192,73.17
投放策略与时间,0.0,0.3692,72.63
投放策略与时间,0.05,0.4192,72.08
投放策略与时间,0.1,0.4692,71.54
投放策略与时间,0.15,0.5192,71.0
投放策略与时间,0.2,0.5692,70.46
投放策略与时间_汇总,极差=4.33,-,"[70.46, 74.79]"
