序号,关键词,方案ID,推广单元,分类,消费,点击量,浏览量,CPC,风险评级,触发规则
1117,2533,500635396,9657930100,问题词,172871.87,59522,156572,2.9043357078055174,高,q95
1119,2832,500635396,9657930100,问题词,164553.1,74970,173306,2.194919301053755,高,q95
1120,2874,500635396,9657930100,问题词,103832.28,39270,110134,2.644061115355233,高,q95
297,3989,495403620,8878077181,重点词,75197.1,124758,1230619,0.6027437118260953,高,q95
1133,4721,500635396,9657930100,问题词,72765.96,23486,55320,3.0982696074257006,高,q95
1138,5553,500635396,9657930100,问题词,71798.68,51724,100920,1.3881115149640397,高,q95
1132,4536,500635396,9657930100,问题词,48121.97,23315,52173,2.063991850739867,高,q95
298,5778,495403620,8878077181,问题词,46615.59,40349,425786,1.1553096731021835,高,q95
1125,3567,500635396,9657930100,问题词,38819.52,16735,32505,2.3196605915745443,高,q95
1108,844,500635396,9657930100,问题词,38287.88,15931,48781,2.4033569769631535,高,q95
904,3567,495817671,9630806627,问题词,33494.72,17166,33833,1.9512245135733428,高,q95
1084,6360,495817671,9630806627,问题词,31984.96,19838,39158,1.6123076923076922,高,q95
2206,6522,525368335,9811363528,问题词,31241.97,10293,31253,3.035263771495191,高,q95
1140,5867,500635396,9657930100,问题词,24613.57,15146,13988,1.6250871517232273,高,q95
1486,1952,525368335,9811363528,重点词,23556.53,28520,31283,0.8259652875175315,高,q95
437,2541,495403620,9628223555,重点词,21686.91,29926,87461,0.7246845552362494,高,q95
2197,6483,525368335,9811363528,问题词,21240.56,994,2010,21.368772635814892,高,双触发
834,2533,495817671,9630806627,重点词,19372.48,19493,16351,0.9938172677371364,高,q95
641,6261,495403620,9628223555,问题词,18916.77,16391,13078,1.1540949301445915,高,q95
1118,2818,500635396,9657930100,问题词,13968.87,6980,12860,2.0012707736389688,高,q95
1124,3408,500635396,9657930100,问题词,12956.21,6733,12890,1.9242848655874052,高,q95
1010,5210,495817671,9630806627,问题词,12400.94,6640,12836,1.8676114457831325,高,q95
2196,6474,525368335,9811363528,问题词,12230.47,690,1211,17.72531884057971,高,双触发
1160,3897,500635396,9700005700,问题词,12164.19,1125,364,10.812613333333333,高,双触发
330,444,495403620,9628223555,问题词,11427.64,6746,61262,1.6939875481766973,高,q95
646,6360,495403620,9628223555,问题词,10735.93,5191,13273,2.0681814679252555,高,q95
1139,5573,500635396,9657930100,重点词,10656.71,10553,10503,1.009827537193215,高,q95
1984,5045,525368335,9811363528,问题词,9739.85,3556,5599,2.738990438695163,高,q95
1976,4969,525368335,9811363528,问题词,9353.77,4456,5427,2.099140484739677,高,q95
2049,5460,525368335,9811363528,问题词,9272.73,2590,5678,3.580204633204633,高,q95
1107,797,500635396,9657930100,问题词,8332.06,3712,9168,2.2446282327586204,高,q95
932,3989,495817671,9630806627,问题词,8240.76,1204,10226,6.844485049833887,高,双触发
1151,389,500635396,9700005700,问题词,6387.87,4897,24764,1.3044455789258729,高,q95
1026,5493,495817671,9630806627,问题词,6217.86,3852,3190,1.6141900311526478,高,q95
462,2874,495403620,9628223555,问题词,5435.94,1915,10266,2.8386109660574412,高,q95
1034,5630,495817671,9630806627,重点词,5131.63,5913,4780,0.8678555724674446,高,q95
1113,1934,500635396,9657930100,问题词,4656.78,2449,5135,1.9015026541445488,高,q95
1653,2914,525368335,9811363528,重点词,4623.04,5627,3428,0.821581659854274,高,q95
