方案ID,推广单元,关键词总数,黄金词,重点词,潜力词,问题词,无效词,总消费,总点击,总浏览,平均CPC
63563817,1841014603,76,1,1,14,19,41,4767.599999999999,4023,12090,1.1850857568978372
63563817,2526158329,26,0,0,8,6,12,149.2,87,216,1.7149425287356321
63563817,2874903000,72,11,1,12,36,12,2847.91,2019,2179,1.4105547300643881
63563817,4190988309,47,1,0,6,12,28,2478.0,1635,12179,1.5155963302752293
63563817,4190988310,73,3,0,11,31,28,4981.89,3283,7520,1.5174809625342676
495403620,8878077181,4,0,2,0,2,0,124225.7,168752,1694374,0.7361435716317436
495403620,9628223555,364,76,44,44,83,117,91605.25,72103,210914,1.2704776500284316
495817671,9630806627,442,93,72,27,89,161,171870.0,107520,166126,1.5984933035714286
500635396,9657930100,45,1,2,4,32,6,808153.3,358634,812358,2.253420757652649
500635396,9700005700,17,3,1,2,5,6,26939.52,12173,32554,2.2130551219912924
500635396,9773660250,6,0,0,1,4,1,6433.9400000000005,4206,9950,1.5297051830718023
525368335,9811363528,1055,242,115,111,109,478,181497.5,100380,138303,1.8081042040247062
